Timestamp,,Seconds,Velocity,Acceleration,Odometer,Latitude,Longitude,Heart Rate,Player Load,Positional Quality (%),HDOP,#Sats,activity,at/df,position
00:48.3,,5.3,1.73,1.742869258,2.35,35.6726268,139.7181767,0,0.2,35.7,2.6499999,4,,,
00:48.4,0:00:11,5.4,2.03,2.076877117,2.71,35.67263,139.718176,0,0.2,34.8,2.6499999,4,,,
00:48.5,,5.5,2.33,2.364855528,3.01,35.6726327,139.7181755,0,0.3,34.8,2.6499999,4,,,
00:48.6,,5.6,2.63,2.601359606,3.48,35.6726368,139.7181742,0,0.3,33.9,2.6499999,4,,,
00:48.7,,5.7,2.91,2.781244755,3.9,35.6726405,139.7181735,0,0.3,34.8,2.6499999,4,,,
00:48.8,,5.8,3.17,2.897206783,4.25,35.6726435,139.7181722,0,0.4,36.1,2.6499999,4,,,
00:48.9,,5.9,3.38,2.941553354,4.63,35.6726468,139.7181712,0,0.4,37.6,2.6499999,4,,,
00:49.0,,6,3.56,2.907546759,5.03,35.6726503,139.7181703,0,0.4,37.6,2.6499999,4,,,
00:49.1,,6.1,3.71,2.797576427,5.69,35.6726563,139.7181697,0,0.5,34.6,2.6499999,4,,,
00:49.2,,6.2,3.89,2.635786772,6.15,35.6726602,139.7181682,0,0.5,41.7,2.1599998,5,,,
00:49.3,,6.3,4.08,2.460651159,6.64,35.6726645,139.7181668,0,0.5,41.7,2.05,5,,,
00:49.4,0:00:12,6.4,4.26,2.298238754,7.01,35.6726677,139.7181655,0,0.6,41.8,2.05,5,,,
00:49.5,,6.5,4.41,2.149348021,7.41,35.6726712,139.7181647,0,0.7,41.7,2.05,5,,,
00:49.6,,6.6,4.52,1.999131441,7.92,35.6726757,139.7181637,0,0.7,43.1,2.05,5,,,
00:49.7,,6.7,4.61,1.834073663,8.28,35.672679,139.7181632,0,0.8,38.4,2.05,5,,,
00:49.8,,6.8,4.67,1.650803208,8.73,35.672683,139.7181627,0,0.8,42.5,2.05,5,,,
00:49.9,,6.9,4.71,1.451565266,9.2,35.6726872,139.7181632,0,0.8,40.7,2.05,5,,,
00:50.0,,7,4.72,1.238507271,9.65,35.6726912,139.7181623,0,0.8,34.2,2.05,5,,,
00:50.1,,7.1,4.72,1.014887571,10.08,35.672695,139.7181613,0,0.9,35.2,2.05,5,,,
00:50.2,,7.2,4.71,0.788472712,10.5,35.6726987,139.7181602,0,0.9,39,2.05,5,,,
00:50.3,,7.3,4.69,0.570581615,10.96,35.6727028,139.7181595,0,1,34.1,2.05,5,,,
00:50.4,0:00:13,7.4,4.68,0.373313159,11.43,35.672707,139.7181597,0,1.1,30.1,2.05,5,,,
00:50.5,,7.5,4.68,0.209085166,11.84,35.6727107,139.7181597,0,1.1,34.3,2.05,5,,,
00:50.6,,7.6,4.68,0.086050227,12.3,35.6727148,139.7181607,0,1.1,33.9,2.05,5,,,
00:50.7,,7.7,4.69,0.003894476,12.84,35.6727195,139.7181592,0,1.2,30.1,2.05,5,,,
00:50.8,,7.8,4.71,-0.040742397,13.26,35.6727232,139.7181588,0,1.2,36.6,2.05,5,,,
00:50.9,,7.9,4.73,-0.053075328,13.62,35.6727265,139.7181583,0,1.3,37.3,2.05,5,,,
00:51.0,,8,4.73,-0.04587204,14.18,35.6727315,139.7181585,0,1.3,30.1,2.05,5,,,
00:51.1,,8.1,4.74,-0.031724237,14.61,35.6727353,139.7181595,0,1.4,30.1,2.05,5,,,
00:51.2,,8.2,4.75,-0.013826624,14.99,35.6727385,139.7181582,0,1.4,34.3,2.05,5,,,
00:51.3,,8.3,4.74,0.004015771,15.5,35.672743,139.7181595,0,1.4,34.1,2.05,5,,,
00:51.4,0:00:14,8.4,4.75,0.016037088,16.09,35.6727483,139.7181605,0,1.5,31.4,2.05,5,,,
00:51.5,,8.5,4.79,0.03195807,16.53,35.6727522,139.7181608,0,1.6,35.5,2.05,5,,,
00:51.6,,8.6,4.86,0.072256893,16.99,35.6727563,139.7181615,0,1.6,38.3,2.05,5,,,
00:51.7,,8.7,4.93,0.14338617,17.56,35.6727615,139.7181617,0,1.7,25.5,2.05,5,,,
00:51.8,,8.8,5.01,0.234839216,18.07,35.672766,139.7181628,0,1.7,28.4,2.05,5,,,
00:51.9,,8.9,5.01,0.234839216,18.07,35.672766,139.7181628,0,1.8,0,2.05,5,,,
00:52.0,,9,5.01,0.234839216,18.07,35.672766,139.7181628,0,1.8,0,2.05,5,,,
00:52.1,,9.1,5.01,0.234839216,18.07,35.672766,139.7181628,0,1.9,0,2.05,5,,,
00:52.2,,9.2,5.01,0.234839216,18.07,35.672766,139.7181628,0,1.9,0,2.05,5,,,
00:52.3,,9.3,5.01,0.234839216,18.07,35.672766,139.7181628,0,1.9,0,2.05,5,,,
00:52.4,0:00:15,9.4,5.01,0.234839216,18.07,35.672766,139.7181628,0,2,0,2.05,5,,,
00:52.5,,9.5,5.01,0.234839216,18.07,35.672766,139.7181628,0,2.1,0,2.05,5,,,
00:52.6,,9.6,5.01,0.234839216,18.07,35.672766,139.7181628,0,2.1,0,2.05,5,,,
00:52.7,,9.7,5.01,0.234839216,18.07,35.672766,139.7181628,0,2.1,0,2.05,5,,,
00:52.8,,9.8,5.01,0.234839216,18.07,35.672766,139.7181628,0,2.2,0,2.05,5,,,
00:52.9,,9.9,5.01,0.234839216,18.07,35.672766,139.7181628,0,2.3,0,2.05,5,,,
00:53.0,,10,5.01,0.234839216,18.07,35.672766,139.7181628,0,2.3,0,2.05,5,,,
00:53.1,,10.1,5.01,0.234839216,18.07,35.672766,139.7181628,0,2.4,0,2.05,5,,,
00:53.2,,10.2,0.08,-3.556608915,18.07,35.6728173,139.7181607,0,2.5,27.7,2.05,5,,,
00:53.3,,10.3,0.08,-3.556608915,18.07,35.6728173,139.7181607,0,2.5,0,2.05,5,,,
00:53.4,0:00:16,10.4,0.08,-3.556608915,18.07,35.6728173,139.7181607,0,2.5,0,2.05,5,,,
00:53.5,,10.5,0.74,-2.321359634,19.19,35.672827,139.7181642,0,2.7,29.7,2.02,6,,,
00:53.6,,10.6,1.11,-1.416692734,19.36,35.6728285,139.7181638,0,2.7,39.4,2.05,5,,,
00:53.7,,10.7,1.58,-0.436399609,19.6,35.6728302,139.7181653,0,2.8,40,2.05,5,,,
00:53.8,,10.8,2.01,0.577843368,19.79,35.6728317,139.7181663,0,2.8,40,2.05,5,,,
00:53.9,,10.9,2.32,1.511682868,20.11,35.6728313,139.7181698,0,2.8,36.8,2.05,5,,,
00:54.0,,11,2.48,2.23169446,20.36,35.6728325,139.7181722,0,2.9,29,2.05,5,,,
00:54.1,,11.1,2.53,2.650593281,20.63,35.6728338,139.7181747,0,3,34.7,2.05,5,,,
00:54.2,,11.2,2.52,2.755993843,20.97,35.6728328,139.7181783,0,3,34.7,2.05,5,,,
00:54.3,,11.3,2.49,2.602432966,21.15,35.672832,139.71818,0,3.1,39.5,2.05,5,,,
00:54.4,0:00:17,11.4,2.47,2.276402473,21.39,35.6728313,139.7181825,0,3.1,46.4,2.02,6,,,
00:54.5,,11.5,2.46,1.866653562,21.69,35.6728298,139.7181852,0,3.1,46,2.02,6,,,
00:54.6,,11.6,2.5,1.454815626,21.99,35.6728285,139.7181882,0,3.1,48.1,2.02,6,,,
00:54.7,,11.7,2.59,1.106681705,22.13,35.6728278,139.7181895,0,3.2,45.7,2.02,6,,,
00:54.8,,11.8,2.68,0.854534805,22.43,35.6728263,139.7181922,0,3.2,38.8,2.02,6,,,
00:54.9,,11.9,2.78,0.697349131,22.69,35.6728247,139.7181943,0,3.2,44.3,2.02,6,,,
00:55.0,,12,2.88,0.619509161,22.97,35.6728225,139.7181957,0,3.3,47.6,2.02,6,,,
00:55.1,,12.1,2.94,0.593025327,23.23,35.6728205,139.7181972,0,3.3,51.1,2.02,6,,,
00:55.2,,12.2,2.98,0.580236554,23.58,35.6728178,139.7181992,0,3.3,49.8,2.02,6,,,
00:55.3,,12.3,3.02,0.560363412,23.84,35.6728157,139.7182005,0,3.4,49.2,2.02,6,,,
00:55.4,0:00:18,12.4,3.06,0.53493619,24.13,35.6728132,139.7182017,0,3.4,45.4,2.02,6,,,
00:55.5,,12.5,3.08,0.503538907,24.42,35.6728112,139.7182037,0,3.5,43.4,2.02,6,,,
00:55.6,,12.6,3.09,0.461563021,24.79,35.672808,139.7182048,0,3.5,45.9,2.02,6,,,
00:55.7,,12.7,3.12,0.414196998,25.13,35.672805,139.7182057,0,3.6,49.2,2.02,6,,,
00:55.8,,12.8,3.14,0.369114488,25.45,35.6728022,139.7182063,0,3.6,51.8,2.02,6,,,
00:55.9,,12.9,3.16,0.32673493,25.81,35.6727993,139.718208,0,3.6,53.3,2.02,6,,,
00:56.0,,13,3.19,0.290664405,26.11,35.6727968,139.7182093,0,3.6,48.2,2.02,6,,,
00:56.1,,13.1,3.22,0.268298715,26.36,35.6727945,139.718209,0,3.8,48.5,2.02,6,,,
00:56.2,,13.2,3.22,0.250617802,26.61,35.6727928,139.7182107,0,3.8,46.3,2.02,6,,,
00:56.3,,13.3,3.18,0.214301363,26.87,35.6727905,139.7182115,0,3.8,47.7,2.02,6,,,
00:56.4,0:00:19,13.4,3.13,0.147631302,27.13,35.6727882,139.7182122,0,3.9,49.9,2.02,6,,,
00:56.5,,13.5,3.08,0.056788575,27.6,35.672784,139.718212,0,4,49.7,2.02,6,,,
00:56.6,,13.6,3.05,-0.042721674,27.91,35.672782,139.7182143,0,4,44.7,2.02,6,,,
00:56.7,,13.7,3.04,-0.129338562,28.26,35.672779,139.7182157,0,4,45.9,2.02,6,,,
00:56.8,,13.8,3.03,-0.186188191,28.5,35.6727773,139.7182173,0,4.1,44.1,2.02,6,,,
00:56.9,,13.9,3,-0.218578756,28.66,35.6727765,139.7182188,0,4.1,42.8,2.02,6,,,
00:57.0,,14,2.92,-0.251629651,28.9,35.672775,139.7182207,0,4.1,42.3,2.02,6,,,
00:57.1,,14.1,2.85,-0.302970707,29.22,35.672773,139.7182232,0,4.2,39.5,2.02,6,,,
00:57.2,,14.2,2.8,-0.365634561,29.49,35.6727713,139.7182253,0,4.2,45.3,2.02,6,,,
00:57.3,,14.3,2.77,-0.419408441,29.78,35.67277,139.7182282,0,4.3,44.8,2.02,6,,,
00:57.4,0:00:20,14.4,2.77,-0.443099171,30.1,35.6727688,139.7182313,0,4.3,39.3,2.02,6,,,
00:57.5,,14.5,2.8,-0.42129159,30.32,35.6727675,139.7182332,0,4.3,38.7,2.02,6,,,
00:57.6,,14.6,2.81,-0.359389901,30.62,35.672767,139.7182365,0,4.4,38.2,2.02,6,,,
00:57.7,,14.7,2.81,-0.281601667,30.94,35.6727658,139.7182397,0,4.4,38.2,2.02,6,,,
00:57.8,,14.8,2.82,-0.204632923,31.2,35.6727655,139.7182425,0,4.4,39.6,2.02,6,,,
00:57.9,,14.9,2.83,-0.131582707,31.5,35.6727643,139.7182455,0,4.5,43.6,2.02,6,,,
00:58.0,,15,2.83,-0.067752764,31.72,35.6727637,139.7182478,0,4.5,41.4,2.02,6,,,
00:58.1,,15.1,2.85,-0.016595101,32.05,35.672763,139.7182513,0,4.5,39,2.02,6,,,
00:58.2,,15.2,2.88,0.031243959,32.32,35.672763,139.7182543,0,4.6,37.8,2.02,6,,,
00:58.3,,15.3,2.89,0.079259373,32.56,35.6727622,139.7182568,0,4.6,39.9,2.02,6,,,
00:58.4,0:00:21,15.4,2.88,0.111889705,32.9,35.6727618,139.7182605,0,4.6,39,2.02,6,,,
00:58.5,,15.5,2.9,0.123583242,33.35,35.6727618,139.7182655,0,4.7,42.4,2.02,6,,,
00:58.6,,15.6,2.95,0.13580589,33.68,35.6727605,139.7182688,0,4.7,43.1,2.02,6,,,
00:58.7,,15.7,3.01,0.169428512,33.98,35.67276,139.718272,0,4.8,41.4,2.02,6,,,
00:58.8,,15.8,3.09,0.228749871,34.34,35.6727598,139.718276,0,4.8,41.8,2.02,6,,,
00:58.9,,15.9,3.18,0.311809599,34.67,35.6727598,139.7182797,0,4.8,39,2.02,6,,,
00:59.0,,16,3.24,0.405965775,34.95,35.6727595,139.7182827,0,4.9,34.9,2.02,6,,,
00:59.1,,16.1,3.29,0.485956907,35.37,35.6727595,139.7182873,0,4.9,37.4,2.02,6,,,
00:59.2,,16.2,3.34,0.538974524,35.68,35.6727592,139.7182908,0,4.9,40.6,2.02,6,,,
00:59.3,,16.3,3.39,0.569772005,35.98,35.672758,139.7182937,0,5,41.6,2.02,6,,,
00:59.4,0:00:22,16.4,3.4,0.576394975,36.33,35.6727575,139.7182975,0,5,43.6,2.02,6,,,
00:59.5,,16.5,3.42,0.553233445,36.74,35.6727573,139.718302,0,5,41.7,2.02,6,,,
00:59.6,,16.6,3.46,0.511058807,37.12,35.6727572,139.7183062,0,5.1,36.7,2.02,6,,,
00:59.7,,16.7,3.47,0.463992029,37.48,35.672757,139.7183102,0,5.1,35.2,2.02,6,,,
00:59.8,,16.8,3.48,0.412496716,37.85,35.6727565,139.7183142,0,5.1,35.2,2.02,6,,,
00:59.9,,16.9,3.51,0.359542072,38.2,35.6727557,139.718318,0,5.2,40.5,2.02,6,,,
01:00.0,,17,3.54,0.316462427,38.49,35.6727545,139.7183208,0,5.3,42.4,2.02,6,,,
01:00.1,,17.1,3.53,0.279347152,38.75,35.6727537,139.7183235,0,5.3,45.6,2.02,6,,,
01:00.2,,17.2,3.51,0.230938256,39.09,35.672753,139.7183272,0,5.3,40.2,2.02,6,,,
01:00.3,,17.3,3.5,0.167573497,39.35,35.6727523,139.71833,0,5.4,38.3,2.02,6,,,
01:00.4,0:00:23,17.4,3.45,0.09445969,39.63,35.6727523,139.718333,0,5.4,34.3,2.02,6,,,
01:00.5,,17.5,3.39,0.007119743,39.89,35.6727517,139.7183358,0,5.4,34.8,2.02,6,,,
01:00.6,,17.6,3.33,-0.095424317,40.27,35.6727513,139.71834,0,5.5,39.5,2.02,6,,,
01:00.7,,17.7,3.29,-0.198164597,40.56,35.67275,139.7183428,0,5.6,40.6,2.02,6,,,
01:00.8,,17.8,3.24,-0.287740856,40.82,35.672749,139.7183453,0,5.6,43.6,2.02,6,,,
01:00.9,,17.9,3.19,-0.360849768,41.12,35.6727482,139.7183485,0,5.6,41.7,2.02,6,,,
01:01.0,,18,3.17,-0.411266118,41.46,35.6727475,139.7183522,0,5.6,43.1,2.02,6,,,
01:01.1,,18.1,3.14,-0.433923125,41.77,35.6727463,139.7183552,0,5.7,34.6,2.02,6,,,
01:01.2,,18.2,3.09,-0.438919336,42.05,35.672746,139.7183583,0,5.7,36.4,2.02,6,,,
01:01.3,,18.3,3.06,-0.438285351,42.43,35.6727455,139.7183625,0,5.7,43.9,2.02,6,,,
01:01.4,0:00:24,18.4,3.04,-0.429295868,42.72,35.6727442,139.7183652,0,5.8,42.9,2.02,6,,,
01:01.5,,18.5,3.02,-0.407896638,42.96,35.6727435,139.7183677,0,5.9,44.4,2.02,6,,,
01:01.6,,18.6,3,-0.378818214,43.23,35.6727423,139.7183703,0,5.9,42.2,2.02,6,,,
01:01.7,,18.7,3,-0.342633814,43.6,35.6727415,139.7183743,0,5.9,41.3,2.02,6,,,
01:01.8,,18.8,2.99,-0.297347218,43.87,35.6727408,139.7183772,0,6,37.6,2.02,6,,,
01:01.9,,18.9,2.96,-0.252791494,44.17,35.6727398,139.7183803,0,6,37.9,2.02,6,,,
01:02.0,,19,2.95,-0.219218761,44.53,35.6727388,139.718384,0,6,45.5,2.02,6,,,
01:02.1,,19.1,2.95,-0.192345321,44.73,35.6727373,139.7183853,0,6.1,43.6,2.02,6,,,
01:02.2,,19.2,2.92,-0.169486359,44.96,35.6727355,139.7183865,0,6.2,49.3,2.02,6,,,
01:02.3,,19.3,2.89,-0.158541679,45.23,35.6727335,139.7183883,0,6.2,48.6,2.02,6,,,
01:02.4,0:00:25,19.4,2.88,-0.158453822,45.52,35.6727322,139.718391,0,6.2,47.4,2.02,6,,,
01:02.5,,19.5,2.87,-0.158425719,45.77,35.6727308,139.7183932,0,6.3,40.4,2.02,6,,,
01:02.6,,19.6,2.84,-0.158506557,46.09,35.6727297,139.7183965,0,6.3,42.4,2.02,6,,,
01:02.7,,19.7,2.82,-0.164418578,46.4,35.6727277,139.7183988,0,6.3,43.9,2.02,6,,,
01:02.8,,19.8,2.81,-0.170793027,46.65,35.6727255,139.7183993,0,6.4,48,2.02,6,,,
01:02.9,,19.9,2.78,-0.174270585,46.93,35.6727237,139.7184015,0,6.4,55.6,2.02,6,,,
01:03.0,,20,2.72,-0.187513515,47.2,35.6727213,139.7184022,0,6.4,55.3,2.02,6,,,
01:03.1,,20.1,2.68,-0.217293069,47.41,35.6727195,139.718403,0,6.4,50.1,2.02,6,,,
01:03.2,,20.2,2.67,-0.247947469,47.73,35.6727178,139.7184058,0,6.5,43.7,2.02,6,,,
01:03.3,,20.3,2.66,-0.262868822,47.97,35.672716,139.7184072,0,6.5,44.7,2.02,6,,,
01:03.4,0:00:26,20.4,2.66,-0.258734196,48.25,35.6727138,139.7184087,0,6.5,44,2.02,6,,,
01:03.5,,20.5,2.68,-0.2332903,48.51,35.6727118,139.7184103,0,6.6,44,2.02,6,,,
01:03.6,,20.6,2.69,-0.188575312,48.75,35.67271,139.7184117,0,6.6,50.3,2.02,6,,,
01:03.7,,20.7,2.66,-0.143330455,49.04,35.6727078,139.7184135,0,6.6,54.1,2.02,6,,,
01:03.8,,20.8,2.65,-0.11425852,49.31,35.6727057,139.718415,0,6.7,45.9,2.02,6,,,
01:03.9,,20.9,2.66,-0.095136002,49.6,35.6727037,139.718417,0,6.7,46.7,2.02,6,,,
01:04.0,,21,2.66,-0.073689058,49.82,35.6727022,139.7184187,0,6.8,45.6,2.02,6,,,
01:04.1,,21.1,2.66,-0.050986055,50.09,35.6727,139.7184198,0,6.8,44.2,2.02,6,,,
01:04.2,,21.2,2.65,-0.034003347,50.36,35.6726977,139.718421,0,6.8,46.1,2.02,6,,,
01:04.3,,21.3,2.62,-0.030635852,50.59,35.6726958,139.7184218,0,6.9,52.1,2.02,6,,,
01:04.4,0:00:27,21.4,2.55,-0.055343136,50.77,35.6726942,139.7184223,0,6.9,54.6,2.02,6,,,
01:04.5,,21.5,2.45,-0.120479442,51,35.6726922,139.718423,0,6.9,50.9,2.02,6,,,
01:04.6,,21.6,2.36,-0.22270219,51.17,35.6726907,139.7184232,0,7,51.6,2.02,6,,,
01:04.7,,21.7,2.25,-0.348317832,51.36,35.672689,139.7184238,0,7,49.6,2.02,6,,,
01:04.8,,21.8,2.15,-0.482684225,51.59,35.672687,139.7184232,0,7,49,2.02,6,,,
01:04.9,,21.9,2.07,-0.608431756,51.83,35.672685,139.7184223,0,7,45.8,2.02,6,,,
01:05.0,,22,2,-0.707822263,52.05,35.6726832,139.7184213,0,7,47.2,2.02,6,,,
01:05.1,,22.1,1.94,-0.771870017,52.17,35.6726822,139.7184207,0,7.1,48.7,2.02,6,,,
01:05.2,,22.2,1.88,-0.801365674,52.38,35.6726803,139.7184205,0,7.1,48.7,2.02,6,,,
01:05.3,,22.3,1.83,-0.800703764,52.55,35.6726792,139.7184192,0,7.1,46.2,2.02,6,,,
01:05.4,0:00:28,22.4,1.79,-0.775063396,52.72,35.6726777,139.7184188,0,7.1,45.5,2.02,6,,,
01:05.5,,22.5,1.76,-0.729955077,52.95,35.6726758,139.718418,0,7.1,45.6,2.02,6,,,
01:05.6,,22.6,1.73,-0.669172764,53.03,35.672675,139.718418,0,7.1,45.4,2.02,6,,,
01:05.7,,22.7,1.71,-0.598012805,53.18,35.6726737,139.7184177,0,7.1,43.3,2.02,6,,,
01:05.8,,22.8,1.67,-0.527089953,53.36,35.6726722,139.718417,0,7.1,43.5,2.02,6,,,
01:05.9,,22.9,1.64,-0.464782238,53.56,35.6726705,139.7184163,0,7.1,47.8,2.02,6,,,
01:06.0,,23,1.62,-0.409840196,53.73,35.672669,139.7184157,0,7.1,46.9,2.02,6,,,
01:06.1,,23.1,1.61,-0.356535226,53.87,35.672668,139.7184148,0,7.1,47.3,2.02,6,,,
01:06.2,,23.2,1.6,-0.304475427,53.98,35.672667,139.7184147,0,7.1,47.8,2.02,6,,,
01:06.3,,23.3,1.57,-0.260654807,54.15,35.6726655,139.7184148,0,7.2,48.8,2.02,6,,,
01:06.4,0:00:29,23.4,1.55,-0.230504751,54.32,35.672664,139.7184148,0,7.2,48.9,2.02,6,,,
01:06.5,,23.5,1.54,-0.209619597,54.51,35.6726623,139.7184153,0,7.2,49.9,2.02,6,,,
01:06.6,,23.6,1.54,-0.188345566,54.63,35.6726613,139.7184157,0,7.2,50.8,2.02,6,,,
01:06.7,,23.7,1.53,-0.16308777,54.77,35.6726602,139.7184165,0,7.2,51.7,2.02,6,,,
01:06.8,,23.8,1.51,-0.139454365,54.91,35.672659,139.7184168,0,7.2,53.3,2.02,6,,,
01:06.9,,23.9,1.5,-0.124363914,55.05,35.6726578,139.7184173,0,7.2,54.4,2.02,6,,,
01:07.0,,24,1.48,-0.117596768,55.21,35.6726565,139.7184182,0,7.2,53.9,2.02,6,,,
01:07.1,,24.1,1.48,-0.112181768,55.36,35.6726552,139.7184183,0,7.2,50.6,2.02,6,,,
01:07.2,,24.2,1.49,-0.101716392,55.52,35.6726538,139.7184188,0,7.2,48.6,2.02,6,,,
01:07.3,,24.3,1.49,-0.084617905,55.67,35.6726525,139.7184193,0,7.2,47.8,2.02,6,,,
01:07.4,0:00:30,24.4,1.51,-0.060854323,55.86,35.672651,139.7184203,0,7.2,49.5,2.02,6,,,
01:07.5,,24.5,1.53,-0.028249508,56.04,35.6726495,139.718421,0,7.3,50.5,2.02,6,,,
01:07.6,,24.6,1.57,0.01474857,56.2,35.6726482,139.7184218,0,7.3,49.8,2.02,6,,,
